date,inflation_yoy,fed_rate_pct,vix,yield_slope_2_10,credit_spread,spx_monthly_ret_pct,stress_score,regime
2017-02-28,2.49,0.66,12.92,1.14,2.28,-0.258,0.2135,Normal
2017-03-31,2.05,0.79,12.37,1.13,2.28,-0.226,0.2081,Normal
2017-04-30,2.05,0.79,10.82,1.01,2.39,-0.192,0.214,Normal
2017-05-31,1.57,0.91,10.41,0.93,2.34,-0.046,0.2088,Normal
2017-06-30,1.69,1.04,11.18,0.93,2.06,0.153,0.1809,Normal
2017-07-31,1.5,1.04,10.26,0.96,2.07,-0.073,0.1695,Normal
2017-08-31,1.66,1.16,10.59,0.79,2.19,0.571,0.2018,Normal
2017-09-30,2.18,1.15,9.51,0.86,1.97,0.37,0.1554,Normal
2017-10-31,1.82,1.15,10.18,0.78,1.92,0.094,0.1625,Normal
2017-11-30,1.92,1.16,11.28,0.64,1.85,0.816,0.1765,Normal
2017-12-31,2.13,1.3,11.04,0.51,1.82,-0.52,0.1797,Normal
2018-01-31,1.99,1.41,13.54,0.58,1.54,0.049,0.1661,Normal
2018-02-28,2.31,1.42,19.85,0.62,1.64,-1.116,0.2478,Normal
2018-03-31,2.33,1.51,19.97,0.47,1.9,0.0,0.2946,Normal
2018-04-30,2.28,1.51,15.93,0.46,1.69,-0.822,0.2219,Normal
2018-05-31,2.71,1.7,15.43,0.43,2.0,-0.69,0.2592,Normal
2018-06-30,2.81,1.82,16.09,0.33,1.98,0.076,0.2716,Normal
2018-07-31,2.38,1.82,12.83,0.29,1.87,0.487,0.2232,Normal
2018-08-31,2.12,1.91,12.86,0.24,1.91,0.013,0.2326,Normal
2018-09-30,2.12,1.91,12.12,0.24,1.72,-0.001,0.1993,Normal
2018-10-31,2.22,2.19,21.23,0.28,1.92,1.079,0.3259,Normal
2018-11-30,1.93,2.2,18.07,0.21,2.21,0.815,0.3333,Normal
2018-12-31,1.5,2.2,25.42,0.21,2.53,0.846,0.4587,Fragile
2019-01-31,1.22,2.4,16.57,0.18,2.49,0.856,0.3552,Fragile
2019-02-28,1.5,2.4,14.78,0.21,2.22,-0.283,0.2973,Normal
2019-03-31,1.88,2.41,13.71,0.14,2.43,0.671,0.3179,Normal
2019-04-30,1.77,2.42,13.12,0.24,2.19,0.095,0.2722,Normal
2019-05-31,1.7,2.39,18.71,0.19,2.49,-1.328,0.3788,Fragile
2019-06-30,1.7,2.39,15.08,0.25,2.63,0.574,0.3513,Fragile
2019-07-31,1.64,2.4,16.12,0.13,2.26,-1.095,0.3238,Normal
2019-08-31,1.74,2.13,18.98,0.0,2.37,0.064,0.3805,Fragile
2019-09-30,1.29,2.13,16.24,0.05,2.19,0.504,0.322,Normal
2019-10-31,1.81,1.83,13.22,0.17,2.23,-0.303,0.2839,Normal
2019-11-30,2.09,1.55,12.62,0.17,2.16,-0.402,0.2679,Normal
2019-12-31,2.11,1.55,13.78,0.34,2.02,0.294,0.2499,Normal
2020-01-31,2.29,1.55,18.84,0.18,2.26,-1.786,0.3509,Fragile
2020-02-29,1.91,1.55,40.11,0.27,2.64,-0.827,0.6354,Fragile
2020-03-31,1.53,1.55,53.54,0.47,3.07,-1.614,0.8291,Crisis
2020-04-30,0.29,0.05,34.15,0.44,3.49,-0.925,0.6662,Crisis
2020-05-31,0.2,0.05,27.51,0.49,3.3,0.48,0.5621,Fragile
2020-06-30,0.48,0.08,30.43,0.5,2.98,1.529,0.5526,Fragile
2020-07-31,0.9,0.09,24.46,0.44,2.76,0.764,0.4605,Fragile
2020-08-31,0.9,0.09,26.41,0.58,2.59,-0.22,0.4498,Fragile
2020-09-30,1.11,0.09,26.37,0.56,2.67,0.822,0.4613,Fragile
2020-10-31,0.95,0.09,38.02,0.74,2.56,-1.22,0.5656,Fragile
2020-11-30,0.95,0.09,20.57,0.68,2.6,-0.461,0.3772,Fragile
2020-12-31,1.13,0.09,22.75,0.8,2.23,0.642,0.3444,Normal
2021-01-31,1.37,0.09,33.09,1.0,2.13,-1.95,0.4335,Fragile
2021-02-28,1.72,0.08,27.95,1.3,1.98,-0.476,0.3328,Normal
2021-03-31,3.49,0.07,19.4,1.58,2.0,0.362,0.2171,Normal
2021-04-30,4.23,0.07,18.61,1.49,1.95,-0.722,0.2084,Normal
2021-05-31,3.72,0.07,16.76,1.44,2.02,0.0,0.2004,Normal
2021-06-30,4.76,0.08,15.83,1.2,1.99,0.133,0.2041,Normal
2021-07-31,5.25,0.1,18.24,1.05,2.0,-0.542,0.2441,Normal
2021-08-31,4.58,0.1,16.48,1.1,1.94,-0.135,0.2125,Normal
2021-09-30,5.22,0.08,23.14,1.24,1.71,-1.198,0.2474,Normal
2021-10-31,6.24,0.08,16.26,1.07,1.8,0.195,0.1939,Normal
2021-11-30,6.44,0.08,27.19,0.91,1.85,-1.914,0.3367,Normal
2021-12-31,6.91,0.08,17.22,0.79,1.78,-0.263,0.2234,Normal
2022-01-31,6.55,0.08,24.83,0.61,1.51,1.871,0.2881,Normal
2022-02-28,7.37,0.08,30.15,0.39,2.14,-0.245,0.4477,Fragile
2022-03-31,7.9,0.2,20.56,0.04,1.97,-1.578,0.343,Normal
